,00-0335,1235-501,1235-514,1235-5220,1296-0010,1296-003,1296-026,1420-012,1420-020,2021-0010,2081-0010,5014-0020,6000,6000-0010,BGI SEQ-500,CDS-5,Capillarys 2 FP,CaptureStation,CaptureStation(FISH),GCS3000DX2,GCS3000Dx2,GSL-10,GSL-120,GSL-120/GSL-10,KM1,KM2,LX200,MB4,MB8/MB4,Nextseq 550AR,Quattro Micro,SLAN-96S,TQD,TQS,UPLC,Xevo TQD,luminex 200
0,,,0.144,2.014,,,,0.2,0.041,1.944,0.606,,8.5,0.077,,0.549,0.85,0.152,,0.857,,,14.6,0.183,3.286,0.5,2.5,,,1.0,0.526,,0.044,,2.667,1.4,0.25
1,2.75,0.25,0.388,2.292,1.0,0.143,0.364,0.4,0.095,3.0,1.125,2.0,8.5,1.0,1.0,0.659,1.15,0.273,1.0,1.365,0.333,,25.0,0.359,1.143,0.5,3.0,,,0.5,0.526,1.0,1.0,,1.333,2.76,0.25
2,2.25,0.214,1.363,0.917,3.0,0.571,0.818,,0.176,2.366,1.077,,4.0,0.692,,0.429,0.95,0.182,,1.159,0.667,,24.4,0.549,0.429,0.5,4.5,,,,0.211,,1.191,,2.333,0.84,0.3
3,0.75,2.821,1.712,0.208,,,0.182,,0.088,0.817,1.038,,,0.192,,0.462,1.2,0.121,,1.016,1.0,,17.6,0.465,0.857,0.5,1.5,,,,0.526,,1.368,,0.333,0.04,0.25
4,,3.143,1.825,,,,0.727,,0.108,0.197,0.875,,6.5,,,0.571,0.975,0.061,,0.937,0.833,,14.0,0.289,0.857,0.25,0.5,,,,0.368,,0.941,,,,0.2
5,,1.25,1.431,,,,0.364,,0.101,,0.298,,11.0,0.192,,0.187,0.5,0.091,,0.365,0.333,,13.0,0.261,0.286,,,,,,0.737,,0.574,,,,0.3
6,,0.607,1.15,,,,0.182,,0.115,,0.019,,,0.192,,0.286,0.1,0.03,,0.127,0.5,,13.2,0.246,,,,,,,0.684,,0.044,2.0,,,
7,,0.25,0.95,,,,,,0.162,0.014,,,,,,0.121,,0.061,,0.127,,2.0,6.2,0.239,1.571,1.0,,,,,0.526,,0.044,,,,
8,,0.036,0.625,,0.667,,0.182,,0.162,,,,,,,0.033,,0.061,,0.238,,,5.0,0.12,0.286,0.5,,2.0,,,0.105,,,,,,
9,,,0.537,,0.667,0.143,,,0.149,,,,,,,0.055,,0.182,,0.048,0.167,,1.8,0.07,0.286,0.5,,,,,0.105,,,,,,
10,,,0.169,,1.0,,,,0.182,,,,,,,0.022,,0.061,0.5,,,,,0.007,,0.75,,,1.0,,,,,,,,
11,,,0.069,,,,,,0.324,,,,,,,0.011,,0.03,,,,,,,,,,,,,,,,,,,
12,,,0.006,,,,0.091,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.006,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.05,,,0.286,0.273,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.031,,,0.286,,1.0,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.025,,,0.286,,3.8,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,2.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.037,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
